date_gmt,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1/1/2025,0,4.42,5.12,4.2,4.32,5.18,4.84,6.38,0,5.26,6.25,6.3,5.14,4.2,5.2,4.1,4.06,4.16,5.36,4.97
2/1/2025,0,4.31,5.09,4.05,4.35,5.14,4.83,6.32,0,4.93,6.18,6.36,5.12,4.06,4.62,4.16,4.19,4.05,5.33,4.97
3/1/2025,0,4.24,5.06,3.87,4.42,4.84,4.79,6.29,0,4.66,6.12,6.36,5.4,4.16,4.4,4.11,4.15,4.1,5.42,4.99
4/1/2025,0,4.19,4.99,3.8,4.41,4.52,4.77,6.29,0,4.5,6.12,6.35,5.68,4.6,4.6,4.12,4.5,4.15,5.35,5.23
5/1/2025,0,4.15,4.94,3.74,4.32,4.37,4.74,6.26,0,4.42,6.04,6.33,6.18,4.76,4.93,4.04,4.94,4.16,5.33,5.21
6/1/2025,0,4.14,4.87,3.69,4.24,4.3,4.74,6.18,0,4.34,5.9,6.36,6.34,4.62,5.2,3.94,5.18,4.14,5.35,5.01
7/1/2025,0,4.12,4.84,3.68,4.24,4.26,4.73,6.1,0,4.3,5.92,6.4,6.14,4.7,4.92,3.87,5.18,4.02,4.84,5.01
8/1/2025,0,4.08,4.88,3.65,4.23,4.23,4.66,5.94,0,4.26,6.08,6.49,5.98,4.95,4.52,3.83,5.1,3.93,4.52,5.04
9/1/2025,0,4.03,4.97,3.62,4.21,4.28,4.63,5.89,0,4.26,6.23,6.56,5.97,4.9,4.15,3.83,4.98,3.69,4.05,5.08
10/1/2025,0,3.88,5.05,3.59,4.1,4.25,4.72,6.02,0,4.28,6.39,6.78,6.31,4.4,3.85,3.86,4.91,3.71,4.12,5.36
11/1/2025,0,3.79,5.09,3.56,4,4.16,4.78,6.08,0,4.25,6.46,7,7.56,3.78,3.76,3.89,5.03,3.75,4.92,5.52
12/1/2025,0,3.76,5.11,3.54,3.99,4.07,4.76,6.02,0,4.22,6.39,6.82,8.28,3.6,3.71,3.58,5.12,3.76,5.16,5.81
13/1/2025,0,3.72,5.06,3.53,3.99,3.98,4.7,6,0,4.17,6.14,6.86,8.68,3.53,3.72,3.83,5.18,3.7,5.21,5.98
14/1/2025,0,3.66,4.96,3.6,3.96,3.99,4.7,6.05,0,4.09,5.74,6.67,8.68,3.47,3.78,3.82,5.1,3.7,5.06,5.93
15/1/2025,0,3.63,4.9,3.6,3.94,4.28,4.74,6.21,0,4.02,5.56,6.6,8.24,3.57,3.83,3.96,4.98,3.71,4.91,5.83
16/1/2025,0,3.6,4.84,3.49,3.96,4.71,4.81,6.27,0,3.99,5.49,6.35,7.64,3.62,3.9,3.92,4.86,3.56,4.72,5.4
17/1/2025,0,3.61,4.78,3.48,4.06,5.01,4.89,6.14,0,3.89,5.6,6.12,7.06,3.57,4.02,3.85,4.8,3.55,4.64,5.12
18/1/2025,0,3.59,4.7,3.59,4.33,5.13,4.9,5.98,0,3.92,5.48,6.06,6.72,3.5,4.34,3.82,4.82,3.57,4.54,4.95
19/1/2025,0,3.53,4.64,3.73,4.62,5.21,4.83,5.91,0,3.98,5.3,6.12,6.36,3.47,4.3,3.84,4.77,3.58,4.52,4.82
20/1/2025,0,3.53,4.58,3.78,4.6,5.21,4.59,5.93,0,3.98,5.1,6.14,6.04,3.42,4.4,4.13,4.67,3.68,4.62,4.74
21/1/2025,0,3.56,4.6,3.72,4.4,4.85,4.38,5.94,0,3.92,4.86,6.16,5.86,3.4,4.6,4.62,4.66,3.74,4.43,4.74
22/1/2025,0,3.57,4.59,3.88,4.27,4.38,4.25,5.94,0,3.94,4.7,6.21,5.54,3.45,4.56,4.74,4.66,3.89,4.39,4.73
23/1/2025,0,3.56,4.56,3.92,4.23,4.05,4.17,5.9,0,4.02,4.62,6.26,5.44,3.5,4.32,4.88,4.69,3.81,4.28,4.68
24/1/2025,0,3.54,4.42,4,4.18,3.88,4.13,5.9,0,4.18,4.65,6.13,5.4,3.49,4.1,5.3,4.62,3.82,4.26,4.6
