date_gmt,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1/1/2025,1.65,1.75,2.16,1.49,1.46,2,1.75,3.1,0,2.05,2.84,2.18,1.7,1.3,2.23,1.9,2.11,1.61,3.14,2.14
2/1/2025,1.64,1.7,2.2,1.44,1.47,2.08,1.74,3,0,1.97,2.75,2.23,1.7,1.3,2.15,1.9,1.83,1.59,3.21,2.12
3/1/2025,1.5,1.61,2.22,1.34,1.49,2.08,1.73,2.92,0,1.8,2.67,2.3,1.6,1.14,1.92,1.93,1.71,1.56,3.16,2.06
4/1/2025,1.5,1.55,2.18,1.2,1.52,1.94,1.7,2.9,0,1.58,2.62,2.3,1.74,1.18,1.58,1.93,1.68,1.57,3.18,1.99
5/1/2025,1.46,1.5,2.14,1.12,1.55,1.7,1.69,2.88,0,1.43,2.6,2.26,2.26,1.32,1.58,1.94,1.97,1.56,3.15,2.19
6/1/2025,1.43,1.5,2.12,1.08,1.51,1.55,1.68,2.85,0,1.35,2.55,2.24,2.45,1.53,1.78,1.9,2.44,1.59,3.12,2.25
7/1/2025,1.4,1.48,2.08,1.05,1.45,1.48,1.66,2.87,0,1.28,2.46,2.24,2.62,1.55,2,1.84,2.86,1.58,3.1,2.08
8/1/2025,1.42,1.48,2.05,1.02,1.43,1.45,1.65,2.75,0,1.25,2.44,2.3,2.5,1.55,1.96,1.77,2.73,1.59,2.92,1.87
9/1/2025,1.42,1.45,2.06,1.03,1.42,1.41,1.6,2.62,0,1.2,2.55,2.4,2.34,1.6,1.7,1.73,2.56,1.55,2.58,1.9
10/1/2025,1.38,1.42,2.11,1.03,1.41,1.43,1.58,2.53,0,1.18,2.68,2.5,2.2,1.75,1.42,1.74,2.65,1.53,2.28,2.03
11/1/2025,1.35,1.35,2.17,1.03,1.36,1.42,1.63,2.64,0,1.2,2.8,2.63,2.49,1.62,1.18,1.77,2.51,1.5,2.2,2.36
12/1/2025,1.33,1.28,2.19,1.01,1.26,1.37,1.67,2.7,0,1.2,2.89,2.85,3.8,1.14,1.05,1.79,2.49,1.55,2.25,2.54
13/1/2025,1.34,1.27,2.22,0.99,1.26,1.31,1.64,2.68,0,1.18,2.85,2.72,4.45,0.86,1.02,1.79,2.57,1.59,2.3,2.68
14/1/2025,1.35,1.24,2.42,1,1.26,1.25,1.62,2.65,0,1.12,2.67,2.72,4.84,0.74,1.02,1.77,2.63,1.56,2.42,2.79
15/1/2025,1.36,1.2,2.36,1.04,1.24,1.24,1.62,2.65,0,1.1,2.4,2.6,4.8,0.7,1.05,1.77,2.55,1.51,2.26,2.71
16/1/2025,1.33,1.17,2.28,1.05,1.22,1.38,1.6,2.8,0,1.03,2.2,2.52,4.34,0.7,1.13,1.84,2.49,1.48,2.13,2.53
17/1/2025,1.26,1.15,2.28,1.02,1.23,1.64,1.64,2.87,0,0.94,2.08,2.41,3.88,0.83,1.18,1.87,2.52,1.47,2.26,2.26
18/1/2025,1.2,1.18,2.26,1.01,1.29,1.89,1.7,2.74,0,0.9,2.15,2.14,3.48,0.8,1.24,1.82,2.36,1.48,2.18,2.05
19/1/2025,1.2,1.18,2.23,1.1,1.4,2.04,1.75,2.63,0,0.9,2.1,2.04,3.01,0.8,2,1.8,2.35,1.5,2.13,1.83
20/1/2025,1.18,1.14,2.17,1.24,1.6,2.09,1.72,2.58,0,0.95,1.9,2.08,2.78,0.75,2.05,1.79,2.3,1.49,2.1,1.72
