date_gmt,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1/1/2025,2.12,2.3,2.68,2,2.42,2.2,2.62,3.26,0,2.14,3.06,0,3.45,2.61,2.82,1.79,2.47,2.07,2.72,2.37
2/1/2025,2.21,2.22,2.64,2.01,2.45,2.21,2.62,3.28,0,2.1,2.9,0,3.55,2.7,2.86,1.77,2.49,2.11,2.4,2.35
3/1/2025,2.05,2.21,2.67,2,2.45,2.08,2.6,3.09,0,2.07,3.09,0,3.32,2.85,2.44,1.78,2.48,1.83,2.07,2.43
4/1/2025,2.07,2.2,2.88,2,2.46,1.91,2.5,2.97,0,2.06,3.19,0,3.23,2.89,1.94,1.78,2.46,1.72,1.99,2.36
5/1/2025,1.93,1.94,2.9,2,2.35,1.94,2.62,3.19,0,2.17,3.38,0,3.19,2.47,1.87,1.79,2.44,1.7,2.08,2.36
6/1/2025,2.1,1.91,2.88,1.99,2.23,1.96,2.76,3.33,0,2.11,3.44,0,3.36,1.73,1.89,1.87,2.45,1.71,2.28,2.47
7/1/2025,2.16,2.02,3,1.98,2.34,1.96,2.64,3.25,0,2.1,3.48,3.76,3.69,1.9,1.92,1.79,2.44,1.68,2.68,2.68
8/1/2025,2.07,1.92,2.91,1.99,2.35,1.94,2.63,3.21,0,2.07,3.25,3.66,3.67,2.02,1.92,1.77,2.51,1.66,2.9,2.77
9/1/2025,2.18,1.87,2.84,2.1,2.25,1.91,2.59,3.22,0,2.02,2.66,3.62,4.44,2,1.87,1.76,2.57,1.65,2.87,2.87
10/1/2025,2.02,1.89,2.82,2.06,2.23,2.37,2.7,3.41,0,1.93,2.26,3.52,5.18,1.97,1.89,1.75,2.52,1.64,2.66,3.24
11/1/2025,1.86,1.88,2.76,2.02,2.24,2.89,2.76,3.55,0,1.97,2.27,3.42,5.24,1.96,2.07,1.74,2.46,1.63,2.27,3.07
12/1/2025,1.91,2.05,2.78,1.94,2.32,2.93,2.82,3.44,0,2,2.31,3.38,4.48,1.96,2.26,1.74,2.4,1.61,2.22,2.71
13/1/2025,1.94,2.02,2.67,2.39,2.5,2.92,2.82,3.25,0,2.04,2.35,3.37,3.92,1.78,2.24,1.74,2.44,1.6,2.32,2.44
14/1/2025,1.88,1.88,2.62,2.38,2.95,2.92,2.77,3.17,0,2.04,2.32,3.39,3.56,1.71,2.22,1.71,2.42,1.59,2.4,2.27
15/1/2025,1.83,1.84,2.65,2.44,2.74,2.99,2.52,3.21,0,2.01,2.32,3.39,3.28,1.69,2.37,1.71,2.27,1.57,2.11,2.21
16/1/2025,2.05,2.14,2.62,2.24,2.47,2.63,2.38,3.25,0,2.03,2.12,3.32,3.06,1.96,2.35,1.76,2.31,1.82,2.04,2.17
17/1/2025,2.09,2.02,2.69,2.36,2.49,2.05,2.3,3.27,0,2.02,2.09,3.32,2.92,1.91,2.64,1.95,2.45,1.77,2.2,2.17
18/1/2025,1.77,2.1,2.62,2.7,2.55,2.04,2.28,3.25,0,2.13,2.09,3.32,2.73,2.13,2.4,2.35,2.36,1.8,2.33,2.17
19/1/2025,1.85,2,2.54,2.49,2.46,1.9,2.27,3.24,0,2.25,2.07,3.3,2.66,1.95,2.19,1.95,2.25,1.91,2.29,2.16
20/1/2025,2.07,2.11,2.29,2.65,2.43,1.87,2.27,3.27,0,2.49,2.45,3.2,2.68,1.9,2.18,2.36,2.36,1.8,2.13,2.14
21/1/2025,2.15,1.92,2.46,2.64,2.41,1.85,2.22,3.27,0,3.04,2.61,3.28,2.61,1.88,2.1,2.38,2.13,1.75,2.14,2.14
22/1/2025,2.04,1.86,2.37,2.41,2.39,2.07,2.2,3.26,0,3.17,2.65,3.26,2.56,1.86,2.05,2.4,1.81,1.71,2.43,2.11
23/1/2025,2.04,1.83,2.3,2.28,2.3,2.11,2.18,3.27,0,3.02,2.65,3.25,2.55,2.02,2.04,2.41,1.74,1.88,2.55,2.11
24/1/2025,2.03,2.03,2.3,2.53,2.21,2.03,2.32,3.2,0,3.04,2.8,3.2,2.54,1.76,2.02,2.17,1.72,2.06,2.55,2.07
25/1/2025,1.86,2.14,2.35,2.28,2.22,1.79,2.4,3.05,0,3.26,3.27,3.16,2.52,1.6,1.87,1.89,1.72,2.31,2.33,2.12
26/1/2025,1.92,2.25,2.42,2.2,2.21,1.77,2.43,3.02,0,3.5,2.41,3.1,2.5,1.78,1.82,1.77,1.71,2.23,2.17,2.24
27/1/2025,1.71,2.2,2.38,2.06,2.29,1.79,2.52,3.1,0,3.74,1.99,3.05,2.48,1.87,2.06,1.75,1.7,2.18,1.99,2.35
28/1/2025,1.63,2.24,2.36,2.02,2.4,1.74,2.47,3.06,0,3.44,1.95,3.03,2.75,1.89,2.15,1.8,1.71,2.32,2,2.11
29/1/2025,1.58,2.18,2.3,2,2.19,1.73,2.48,3.04,0,2.88,2,2.79,2.86,1.89,2.14,1.78,1.72,2.21,2,1.98
30/1/2025,1.57,2.08,2.24,2.06,2.07,1.76,2.49,2.82,0,2.8,2.01,2.78,2.86,1.89,2.15,1.76,1.75,1.92,2.34,1.89
31/1/2025,1.53,2.24,2.27,2.08,2.05,1.72,2.48,2.49,0,2.79,2.31,2.74,2.89,1.85,2.15,1.74,1.76,1.68,2.15,1.9
1/2/2025,1.51,2.1,2.34,2.04,2.07,1.72,2.63,2.4,2.34,2.63,2.06,2.73,3.06,0,1.93,1.73,2,1.63,1.91,2.01
2/2/2025,1.52,2.38,2.31,2.05,2.09,1.76,2.66,2.4,2.28,2.36,2.06,2.76,3.31,1.83,1.94,1.7,1.95,1.61,1.89,2.08
3/2/2025,1.53,2.39,2.3,1.98,2.09,1.76,2.66,2.38,2.08,2.01,2,2.9,3.24,1.87,1.83,1.68,1.79,1.59,0,2.01
4/2/2025,1.85,2.2,2.23,1.82,2.05,1.71,2.6,2.39,2.11,1.95,2.08,2.9,2.87,1.86,1.76,1.64,1.68,1.72,2.1,1.88
5/2/2025,2.17,2.13,2.27,1.71,2.02,1.7,2.61,2.4,2.08,1.94,2.08,2.9,2.5,1.84,1.76,1.66,1.66,1.71,2.36,1.88
6/2/2025,1.99,2.19,2.28,1.58,2.01,1.69,2.61,2.41,2.06,1.9,2.35,2.92,2.34,1.85,1.76,1.63,1.65,1.62,2.68,1.87
7/2/2025,2.08,2.07,2.21,1.55,2.03,1.68,2.52,2.38,2.03,1.91,2.57,2.9,2.33,1.85,1.74,1.76,1.8,1.6,2.78,1.84
8/2/2025,1.82,2.07,2.14,1.53,2.02,1.66,2.44,2.38,1.98,1.9,2.59,2.8,2.31,1.85,1.78,1.82,1.92,1.53,2.6,1.84
9/2/2025,1.8,1.87,2.13,1.51,2.01,1.65,2.41,2.36,1.99,1.88,2.62,2.75,2.3,1.85,2.11,1.79,1.95,1.54,1.99,1.78
10/2/2025,1.8,1.84,2.09,1.21,2.03,1.65,2.32,2.36,2.33,1.88,2.63,2.7,2.29,1.81,2.5,1.71,1.96,1.52,1.8,1.75
11/2/2025,1.95,1.84,2.14,1.08,2.02,1.64,2.22,2.36,2.48,1.88,2.71,2.66,2.3,1.84,2.5,1.7,2.09,1.51,1.78,1.73
12/2/2025,1.97,1.75,2.12,1.18,2.03,1.63,2.21,2.33,2.5,1.84,3.03,2.6,2.29,1.88,2.19,1.66,2.18,1.52,1.78,1.92
13/2/2025,1.7,1.68,2.1,1.15,2.01,1.64,2.21,2.57,2.35,1.85,3.29,2.5,2.41,1.87,1.98,1.64,2.2,1.56,1.77,2
14/2/2025,1.73,1.68,2.12,1.09,1.91,1.64,2.21,2.73,2.07,1.85,3.34,2.39,2.64,1.85,1.92,1.62,2.18,1.54,0,2
15/2/2025,2,1.71,2.06,1.07,1.92,1.64,2.24,2.98,1.96,1.84,3.23,2.16,3.03,1.85,1.88,0,2.14,1.53,0,1.96
16/2/2025,1.63,1.87,2.07,1.07,1.93,1.62,2.28,3.2,1.94,1.85,3.17,2.08,3.51,1.86,1.89,1.59,2.13,1.53,0,2.14
17/2/2025,1.68,1.93,2.14,1.06,1.96,1.62,2.24,3.26,1.98,1.82,3.71,2.05,3.79,1.86,1.84,1.58,2.04,1.52,0,2.24
18/2/2025,1.9,2,2.13,1.05,1.93,1.62,2.22,3.15,1.98,1.84,3.7,2.06,3.83,1.83,1.83,1.58,1.96,1.5,1.73,2.25
19/2/2025,1.87,2.03,2.25,1.02,1.87,1.62,2.2,3.13,1.95,1.82,3.75,2.05,3.77,1.81,1.88,1.59,1.81,1.5,1.73,2.21
20/2/2025,2.18,1.93,2.09,0.98,1.86,1.61,2.32,3.16,1.94,1.83,3.74,2.02,3.78,1.83,1.97,1.64,1.86,1.5,1.72,2.22
21/2/2025,1.73,2.1,2.03,0.98,1.87,1.62,2.4,3.19,1.92,1.82,3.37,2.04,3.8,1.83,2.04,1.78,2.06,1.5,1.72,2.22
22/2/2025,1.7,2.04,2.06,0.98,1.86,1.61,2.38,3.2,1.92,1.82,2.92,2.02,3.82,1.82,1.96,2.1,2.18,1.49,1.72,2.21
23/2/2025,1.73,1.93,1.99,1.03,1.88,1.62,2.38,3.24,1.93,2.29,3.07,2.02,3.82,1.82,2.13,2.25,2.27,1.48,1.76,2.2
24/2/2025,1.56,1.98,1.94,1.01,2.01,1.61,2.38,3.37,1.92,2.46,3.54,2.35,3.78,1.83,2.21,2.28,2.35,1.47,2.21,2.19
25/2/2025,1.25,1.77,1.93,1,2.02,1.62,2.38,3.57,1.91,2.53,3.75,2.42,3.76,1.84,2.19,2.27,2.37,1.46,2.69,2.19
26/2/2025,1.32,1.77,1.87,1.02,2.01,1.61,2.37,3.42,1.91,2.62,3.74,2.68,3.77,1.84,2.19,2.23,2.47,1.45,3,2.19
27/2/2025,1.37,1.62,1.89,1.06,2.07,1.59,2.36,3.47,1.9,2.61,3.75,2.8,3.81,1.84,2.18,2.24,2.42,0,3.07,2.19
28/2/2025,1.31,1.53,1.9,1.17,2.1,1.58,2.35,3.57,1.87,2.63,3.75,2.82,3.79,1.84,2.17,2.08,2.34,2.11,3.06,2.18
1/3/2025,1.32,1.96,1.82,1.12,2.09,1.58,2.34,3.6,1.87,2.02,3.75,2.74,3.72,1.84,2.15,1.86,2.3,2.03,3,2.16
2/3/2025,1.49,1.92,1.8,1.17,2.1,1.58,2.34,3.61,1.85,1.95,3.73,2.66,3.58,1.84,2.08,1.84,1.94,2.04,3,2.15
3/3/2025,1.62,1.79,1.78,1.18,2.1,1.57,2.33,3.55,1.84,1.94,3.74,2.65,3.52,1.83,2.05,2.18,1.62,2.05,3.17,2.16
4/3/2025,1.52,1.77,1.77,1.26,2.12,1.57,2.4,3.49,2.2,1.94,3.74,2.6,3.49,1.83,2.19,2.4,1.61,1.6,3.02,2.16
5/3/2025,1.46,1.88,1.82,1.27,2.12,1.57,2.48,3.46,2.87,1.94,3.6,2.56,3.52,1.82,2.21,2.62,1.58,1.48,0,2.07
6/3/2025,1.35,1.79,1.78,1.39,2.2,1.63,2.46,3.62,3.4,1.92,3.19,2.3,3.56,1.85,2.2,2.77,1.65,1.47,3.01,2.1
7/3/2025,1.43,1.96,1.83,1.47,2.16,1.89,2.46,3.67,3.52,1.91,2.96,2.26,3.65,1.81,2.21,2.91,1.66,1.48,2.89,2.12
8/3/2025,1.3,2.09,1.84,1.45,2.13,1.58,2.43,3.67,3.81,2.09,3.13,1.9,3.75,1.79,2.24,3.05,1.66,1.5,2.87,2.21
9/3/2025,1.48,2.09,1.79,1.45,2.17,1.55,2.49,3.65,3.56,2.23,3.53,1.97,3.79,1.79,2.29,3.09,1.92,1.56,3.01,2.22
10/3/2025,1.31,1.94,1.87,1.43,2.17,1.54,2.49,3.61,3.52,2.22,3.64,1.95,3.78,1.8,2.19,3.18,2.08,1.56,2.92,2.24
11/3/2025,1.45,1.87,1.82,1.43,2.18,1.55,2.51,3.5,3.48,2.22,3.65,1.95,3.78,1.79,2.15,3.24,2.19,1.54,2.83,2.24
12/3/2025,1.49,1.87,1.92,1.68,2.14,1.55,2.47,3.5,3.22,2.49,3.5,2.01,3.78,1.78,2.18,3.24,2.07,1.57,2.87,2.23
13/3/2025,1.46,1.82,1.78,1.78,2.16,1.56,2.42,3.48,3.32,3.03,3.42,2.05,3.78,1.86,2.21,3.44,1.77,1.6,2.99,2.2
14/3/2025,1.39,1.66,1.8,1.52,2.14,1.68,2.37,3.41,3.28,3.26,3.41,2.04,3.75,1.93,2.19,3.41,1.63,1.52,2.98,2.16
15/3/2025,1.29,1.75,1.8,1.63,2.08,1.55,2.35,3.4,3.29,3.28,3.34,2.01,3.75,1.93,2.31,3.55,1.76,1.46,3,2.15
16/3/2025,1.25,1.67,1.74,1.59,2.15,1.54,2.42,3.43,3.37,3.29,3.43,1.98,3.75,2.01,2.47,3.65,1.82,1.45,2.97,2.14
17/3/2025,1.24,1.8,1.67,1.58,2.29,1.53,2.4,3.43,3.29,3.29,3.5,2.06,3.77,2.04,2.25,3.72,1.84,1.44,3.1,2.19
18/3/2025,1.48,1.81,1.74,1.52,2.45,1.52,2.15,3.43,3.27,3.28,3.49,2.52,3.78,1.98,2.13,3.69,1.93,1.44,3.2,2.21
19/3/2025,1.45,1.66,1.82,1.47,2.57,1.51,2.06,3.44,3.34,3.3,3.5,2.66,3.77,1.97,1.88,3.61,1.97,0,3.29,2.2
20/3/2025,1.66,1.69,1.79,1.57,2.64,1.5,2.03,3.36,3.41,3.34,3.48,2.76,3.78,2,1.85,3.49,2.05,1.47,3.16,2.18
21/3/2025,1.47,1.75,1.77,1.63,2.57,1.5,1.86,3.39,3.57,3.28,3.49,2.92,3.75,2.03,2.15,3.29,2.18,1.44,3.05,2.15
22/3/2025,1.42,1.72,1.79,1.51,2.38,1.51,1.53,3.15,3.7,3.24,3.54,2.98,3.73,2.07,2.48,2.95,2.27,1.43,3,2.13
23/3/2025,1.47,1.76,1.82,1.26,2.3,1.52,1.48,2.96,3.77,3.23,3.57,2.98,3.72,1.98,2.45,2.58,2.28,1.45,2.88,2.16
24/3/2025,1.46,1.64,1.8,1.43,2.27,1.52,1.47,2.93,3.29,3.29,3.44,2.98,3.73,2.08,2.47,2.78,2.23,1.47,2.6,2.14
25/3/2025,1.48,1.82,1.8,1.44,2.25,1.52,1.45,3.11,3.64,3.3,3.21,3.07,3.74,2.14,2.51,3.14,2.18,1.48,2.45,2.13
26/3/2025,1.26,2.11,1.7,1.39,2.24,1.51,1.44,3.15,3.5,3.21,3.13,2.9,3.71,2.2,2.61,3.17,2.23,1.95,2.64,2.09
27/3/2025,1.24,1.92,1.85,1.29,2.34,1.52,1.42,3.14,3.77,3.2,3.39,2.42,3.73,2.26,2.71,2.97,1.77,1.5,2.81,2.11
28/3/2025,1.29,2.02,1.97,0.96,2.32,1.53,1.41,3.14,3.29,3.23,3.63,2.38,3.78,2.35,2.73,2.86,1.62,1.51,3,2.13
