date_gmt,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1/1/2025,0,4.38,5.12,3.9,4.62,4.64,4.9,6.24,0,4.55,6,6.23,8.78,8.12,8.8,8.88,8.62,8.82,9.54,6.36
2/1/2025,4.3,4.35,5.07,3.68,4.48,4.48,4.89,6.23,0,4.48,6.04,6.27,8.78,8.07,9.08,8.76,8.68,8.76,9.46,6.4
3/1/2025,4.32,4.27,4.98,3.67,4.41,4.02,4.88,6.18,0,4.32,5.87,6.23,8.92,8.13,9.2,8.68,9.21,8.72,9.42,6.44
4/1/2025,4.41,4.26,4.9,3.67,4.38,4,4.87,6.12,0,4.28,5.78,6.26,9.17,8.19,9.22,8.7,9.18,8.74,9.4,6.44
5/1/2025,4.41,4.2,4.95,3.66,4.42,4.4,4.85,5.98,0,4.26,5.9,6.34,9.24,8.24,8.94,8.75,9.14,8.74,9.4,6.42
6/1/2025,4.3,4.16,5.06,3.64,4.4,4.42,4.75,5.84,0,4.26,6.02,6.36,9.09,8.29,8.4,8.74,8.96,8.68,9.44,6.34
7/1/2025,4.19,4.02,5.06,3.62,4.35,4.44,4.81,5.89,0,4.31,6.2,6.46,8.49,8.24,8.5,8.76,9,8.58,9.46,6.29
8/1/2025,4.22,3.96,5.16,3.6,4.18,4.35,4.94,5.86,0,4.28,6.34,6.58,9.01,8.19,8.24,8.8,8.8,8.72,9.46,6.33
9/1/2025,4.29,3.96,5.22,3.58,4.17,4.26,4.89,6,0,4.25,6.4,6.78,9.18,8.25,8.28,8.77,8.88,8.68,9.42,6.46
10/1/2025,4.28,3.97,5.19,3.58,4.2,4.16,4.84,5.96,0,4.16,6.2,6.83,9.64,8.14,8.4,8.78,8.82,8.62,9.4,6.79
11/1/2025,4.27,3.9,5.12,3.64,4.16,4.08,4.79,5.94,0,4.1,5.9,6.68,10.75,8.02,8.52,8.8,8.84,8.54,9.4,7.23
12/1/2025,4.22,3.88,5.05,3.67,4.12,4.3,4.82,6.02,0,3.98,6.02,6.72,10.94,7.95,8.54,8.84,8.74,8.52,9.42,7.3
13/1/2025,4.06,3.88,4.97,3.66,4.15,4.84,4.9,6.22,0,3.82,5.56,6.85,11.09,7.84,8.54,8.87,8.68,8.48,9.38,7.31
14/1/2025,4,3.88,4.94,3.58,4.24,5.1,4.99,6.18,0,3.9,5.32,6.1,10.94,7.98,8.7,8.7,8.68,8.44,9.38,7.17
15/1/2025,4.02,3.92,4.85,3.7,4.44,5.18,5.01,6.14,0,4.01,5.64,6.03,10.18,8.09,8.79,8.72,8.72,8.64,9.36,6.61
16/1/2025,4.01,3.81,4.81,3.93,4.8,5.22,4.97,5.85,0,4.02,5.12,6.06,9.44,8.16,8.82,8.77,8.77,8.66,9.4,6.42
17/1/2025,3.97,3.73,4.77,4.11,4.83,5.34,4.78,5.72,0,4.03,5.18,6.1,9.04,8.23,8.75,8.8,8.74,8.6,9.4,6.26
18/1/2025,4.05,3.88,4.73,3.95,4.56,5.1,4.53,5.86,0,3.98,4.86,6.05,9.21,8.27,8.88,8.92,8.68,8.66,9.44,6.33
19/1/2025,4.14,3.9,4.79,3.9,4.4,4.5,4.41,5.86,0,3.94,4.74,6.08,9.29,8.33,8.88,8.88,8.74,8.74,9.42,6.28
20/1/2025,3.97,3.92,4.77,3.93,4.43,4.2,4.34,5.84,0,4.08,4.6,6.08,8.92,8.27,8.86,8.84,8.8,8.68,9.38,6.09
21/1/2025,3.9,3.88,4.69,4.24,4.4,4.07,4.3,5.82,0,4.28,4.67,6.14,8.64,8.23,8.89,9,8.86,8.62,9.36,6.14
22/1/2025,3.98,3.91,4.5,4.26,4.32,3.96,4.28,5.8,0,4.46,4.76,6.18,8.75,8.17,8.84,9.17,8.8,8.68,9.4,6.15
