date_gmt,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1/1/2025,2.14,2.22,2.53,2.08,2.09,2.48,2.32,3.68,0,2.57,3.39,3.19,2.32,1.51,2.23,1.18,1.62,1.44,2.16,2.45
2/1/2025,2.13,2.16,2.56,2.04,2.1,2.58,2.3,3.57,0,2.54,3.31,3.19,2.26,1.46,2.24,1.24,1.39,1.32,2.15,2.48
3/1/2025,2.13,2.07,2.59,1.95,2.11,2.62,2.28,3.5,0,2.37,3.23,3.24,2.2,1.38,1.95,1.26,1.24,1.24,2.06,2.44
4/1/2025,2.09,1.99,2.56,1.8,2.15,2.52,2.26,3.46,0,2.14,3.17,3.26,2.28,1.31,1.63,1.27,1.28,1.22,2.08,2.38
5/1/2025,2.03,1.93,2.55,1.69,2.19,2.3,2.24,3.45,0,1.96,3.14,3.26,2.5,1.46,1.58,1.27,1.32,1.24,2.08,2.65
6/1/2025,1.97,1.92,2.52,1.62,2.16,2.1,2.22,3.43,0,1.84,3.11,3.24,2.85,1.72,1.79,1.24,1.68,1.28,2.05,2.71
7/1/2025,1.96,1.92,2.48,1.59,2.09,2,2.21,3.39,0,1.77,3.01,3.24,3.16,1.78,2.02,1.18,1.98,1.28,2.04,2.56
8/1/2025,1.99,1.92,2.46,1.56,2.06,1.94,2.19,3.33,0,1.72,2.96,3.24,3.14,1.72,2.06,1.15,2.04,1.22,1.88,2.39
9/1/2025,1.99,1.91,2.46,1.56,2.06,1.92,2.18,3.21,0,1.67,3.04,3.36,2.98,1.83,1.86,1.06,2.03,1.15,1.55,2.23
10/1/2025,1.96,1.87,2.5,1.56,2.05,1.9,2.12,3.11,0,1.65,3.16,3.42,2.92,1.96,1.51,1.04,1.96,1.03,1.27,2.44
11/1/2025,1.91,1.8,2.56,1.56,2.01,1.93,2.14,3.16,0,1.66,3.32,3.58,3.04,1.78,1.24,1.07,1.92,0.94,1.1,2.7
12/1/2025,1.89,1.71,2.59,1.55,1.92,1.88,2.21,3.26,0,1.67,3.43,3.83,4.01,1.4,1.08,1.1,1.9,0.98,1.3,2.91
13/1/2025,1.92,1.68,2.62,1.52,1.87,1.8,2.23,3.26,0,1.65,3.43,3.77,5.13,1.18,1.02,1.12,1.96,1.04,1.85,3.13
14/1/2025,1.93,1.67,2.63,1.52,1.87,1.74,2.21,3.22,0,1.62,3.28,3.76,5.62,0.9,0.99,1.08,2.02,0.98,1.93,3.27
