date_gmt,AVG
2007-01-01,1.75
2007-01-02,1.7
2007-01-03,1.61
2007-01-04,1.55
2007-01-05,1.5
2007-01-06,1.5
2007-01-07,1.48
2007-01-08,1.48
2007-01-09,1.45
2007-01-10,1.42
2007-01-11,1.35
2007-01-12,1.28
2007-01-13,1.27
2007-01-14,1.24
2007-01-15,1.2
2007-01-16,1.17
2007-01-17,1.15
2007-01-18,1.18
2007-01-19,1.18
2007-01-20,1.14
2007-01-21,1.12
2007-01-22,1.16
2007-01-23,1.18
2007-01-24,1.18
2007-01-25,1.18
2007-01-26,1.17
2007-01-27,1.14
2007-01-28,1.1
2007-01-29,1.08
2007-01-30,1.1
2007-01-31,1.22
2007-02-01,1.35
2007-02-02,1.4
2007-02-03,1.43
2007-02-04,1.5
2007-02-05,1.6
2007-02-06,1.75
2007-02-07,1.88
2007-02-08,1.92
2007-02-09,1.87
2007-02-10,1.72
2007-02-11,1.52
2007-02-12,1.4
2007-02-13,1.31
2007-02-14,1.22
2007-02-15,1.17
2007-02-16,1.1
2007-02-17,1.07
2007-02-18,0.97
2007-02-19,0.9
2007-02-20,0.88
2007-02-21,0.9
2007-02-22,0.94
2007-02-23,1.0
2007-02-24,1.04
2007-02-25,1.1
2007-02-26,1.1
2007-02-27,1.09
2007-02-28,1.12
2007-03-01,1.1
2007-03-02,1.02
2007-03-03,0.9
2007-03-04,0.83
2007-03-05,0.81
2007-03-06,0.88
2007-03-07,0.94
2007-03-08,0.97
2007-03-09,0.92
2007-03-10,0.87
2007-03-11,0.87
2007-03-12,0.86
2007-03-13,0.88
2007-03-14,1.0
2007-03-15,1.1
2007-03-16,1.1
2007-03-17,1.04
2007-03-18,1.0
2007-03-19,0.94
2007-03-20,0.85
2007-03-21,0.93
2007-03-22,1.0
2007-03-23,1.1
2007-03-24,1.1
2007-03-25,1.03
2007-03-26,0.94
2007-03-27,0.9
2007-03-28,0.88
2007-03-29,0.87
2007-03-30,0.91
2007-03-31,1.06
2007-04-01,1.2
2007-04-02,1.28
2007-04-03,1.33
2007-04-04,1.32
2007-04-05,1.24
2007-04-06,1.22
2007-04-07,1.23
2007-04-08,1.18
2007-04-09,1.17
2007-04-10,1.22
2007-04-11,1.27
2007-04-12,1.24
2007-04-13,1.15
2007-04-14,1.02
2007-04-15,0.86
2007-04-16,0.77
2007-04-17,0.7
2007-04-18,0.7
2007-04-19,0.74
2007-04-20,0.84
2007-04-21,0.98
2007-04-22,1.1
2007-04-23,1.2
2007-04-24,1.28
2007-04-25,1.3
2007-04-26,1.25
2007-04-27,1.2
2007-04-28,1.08
2007-04-29,0.97
2007-04-30,1.04
2007-05-01,1.27
2007-05-02,1.46
2007-05-03,1.67
2007-05-04,1.84
2007-05-05,1.9
2007-05-06,1.95
2007-05-07,1.96
2007-05-08,1.94
2007-05-09,1.86
2007-05-10,1.82
2007-05-11,1.92
2007-05-12,2.3
2007-05-13,2.62
2007-05-14,2.94
2007-05-15,3.02
2007-05-16,2.66
2007-05-17,2.32
2007-05-18,2.27
2007-05-19,2.19
2007-05-20,2.12
2007-05-21,2.06
2007-05-22,2.06
2007-05-23,2.18
2007-05-24,2.38
2007-05-25,2.52
2007-05-26,2.8
2007-05-27,3.12
2007-05-28,3.08
2007-05-29,3.17
2007-05-30,2.94
2007-05-31,2.84
2007-06-01,2.75
2007-06-02,2.4
2007-06-03,2.23
2007-06-04,2.17
2007-06-05,2.48
2007-06-06,3.74
2007-06-07,4.32
2007-06-08,4.77
2007-06-09,4.88
2007-06-10,4.8
2007-06-11,4.57
2007-06-12,4.52
2007-06-13,4.5
2007-06-14,4.62
2007-06-15,4.9
2007-06-16,5.15
2007-06-17,5.4
2007-06-18,6.18
2007-06-19,6.37
2007-06-20,5.95
2007-06-21,5.68
2007-06-22,5.35
2007-06-23,5.07
2007-06-24,4.88
2007-06-25,5.33
2007-06-26,5.54
2007-06-27,5.32
2007-06-28,5.0
2007-06-29,4.76
2007-06-30,4.8
2007-07-01,5.0
2007-07-02,6.1
2007-07-03,6.46
2007-07-04,6.2
2007-07-05,6.03
2007-07-06,5.92
2007-07-07,5.97
2007-07-08,5.88
2007-07-09,5.98
2007-07-10,7.2
2007-07-11,8.1
2007-07-12,8.45
2007-07-13,8.38
2007-07-14,7.9
2007-07-15,7.46
2007-07-16,7.17
2007-07-17,7.0
2007-07-18,7.08
2007-07-19,7.66
2007-07-20,9.6
2007-07-21,10.28
2007-07-22,10.48
2007-07-23,10.6
2007-07-24,10.42
2007-07-25,10.1
2007-07-26,9.86
2007-07-27,10.26
2007-07-28,10.58
2007-07-29,10.5
2007-07-30,10.75
2007-07-31,10.83
2007-08-01,10.9
2007-08-02,10.98
2007-08-03,11.06
2007-08-04,11.02
2007-08-05,11.07
2007-08-06,10.92
2007-08-07,10.75
2007-08-08,10.63
2007-08-09,10.82
2007-08-10,11.27
2007-08-11,12.22
2007-08-12,12.79
2007-08-13,13.26
2007-08-14,13.63
2007-08-15,13.67
2007-08-16,13.54
2007-08-17,13.24
2007-08-18,12.62
2007-08-19,12.0
2007-08-20,11.48
2007-08-21,11.28
2007-08-22,11.27
2007-08-23,11.25
2007-08-24,11.1
2007-08-25,10.9
2007-08-26,10.68
2007-08-27,10.47
2007-08-28,10.1
2007-08-29,9.86
2007-08-30,9.9
2007-08-31,9.85
2007-09-01,9.73
2007-09-02,9.97
2007-09-03,10.48
2007-09-04,10.7
2007-09-05,10.4
2007-09-06,10.25
2007-09-07,10.53
2007-09-08,11.0
2007-09-09,11.18
2007-09-10,11.13
2007-09-11,11.1
2007-09-12,11.08
2007-09-13,10.92
2007-09-14,10.62
2007-09-15,10.57
2007-09-16,10.34
2007-09-17,9.72
2007-09-18,9.5
2007-09-19,9.32
2007-09-20,9.21
2007-09-21,9.08
2007-09-22,8.85
2007-09-23,8.6
2007-09-24,8.45
2007-09-25,8.2
2007-09-26,7.88
2007-09-27,7.72
2007-09-28,7.57
2007-09-29,9.18
2007-09-30,10.15
2007-10-01,9.7
2007-10-02,9.46
2007-10-03,9.26
2007-10-04,8.76
2007-10-05,8.31
2007-10-06,7.9
2007-10-07,7.75
2007-10-08,8.06
2007-10-09,8.4
2007-10-10,8.2
2007-10-11,7.9
2007-10-12,7.6
2007-10-13,7.38
2007-10-14,7.22
2007-10-15,7.04
2007-10-16,6.61
2007-10-17,6.46
2007-10-18,6.32
2007-10-19,6.15
2007-10-20,6.05
2007-10-21,5.94
2007-10-22,5.7
2007-10-23,5.68
2007-10-24,5.63
2007-10-25,5.5
2007-10-26,5.48
2007-10-27,5.77
2007-10-28,6.08
2007-10-29,6.06
2007-10-30,5.9
2007-10-31,5.83
2007-11-01,5.45
2007-11-02,5.28
2007-11-03,5.16
2007-11-04,5.1
2007-11-05,5.1
2007-11-06,5.07
2007-11-07,5.15
2007-11-08,5.48
2007-11-09,5.7
2007-11-10,5.36
2007-11-11,4.8
2007-11-12,4.36
2007-11-13,4.08
2007-11-14,4.02
2007-11-15,4.02
2007-11-16,3.95
2007-11-17,3.77
2007-11-18,3.75
2007-11-19,3.72
2007-11-20,3.6
2007-11-21,3.56
2007-11-22,3.58
2007-11-23,3.43
2007-11-24,3.33
2007-11-25,3.2
2007-11-26,3.07
2007-11-27,3.02
2007-11-28,3.0
2007-11-29,3.03
2007-11-30,2.9
2007-12-01,2.78
2007-12-02,2.75
2007-12-03,2.7
2007-12-04,2.65
2007-12-05,2.57
2007-12-06,2.47
2007-12-07,2.39
2007-12-08,2.36
2007-12-09,2.4
2007-12-10,2.45
2007-12-11,2.53
2007-12-12,2.6
2007-12-13,2.6
2007-12-14,2.56
2007-12-15,2.5
2007-12-16,2.41
2007-12-17,2.32
2007-12-18,2.3
2007-12-19,2.27
2007-12-20,2.27
2007-12-21,2.25
2007-12-22,2.21
2007-12-23,2.13
2007-12-24,2.08
2007-12-25,2.05
2007-12-26,2.02
2007-12-27,2.0
2007-12-28,1.97
2007-12-29,1.93
2007-12-30,1.87
2007-12-31,1.81
2008-01-01,2.16
2008-01-02,2.2
2008-01-03,2.22
2008-01-04,2.18
2008-01-05,2.14
2008-01-06,2.12
2008-01-07,2.08
2008-01-08,2.05
2008-01-09,2.06
2008-01-10,2.11
2008-01-11,2.17
2008-01-12,2.19
2008-01-13,2.22
2008-01-14,2.42
2008-01-15,2.36
2008-01-16,2.28
2008-01-17,2.28
2008-01-18,2.26
2008-01-19,2.23
2008-01-20,2.17
2008-01-21,2.13
2008-01-22,2.1
2008-01-23,2.13
2008-01-24,2.12
2008-01-25,2.05
2008-01-26,1.93
2008-01-27,1.87
2008-01-28,1.82
2008-01-29,1.8
2008-01-30,1.76
2008-01-31,1.74
2008-02-01,1.78
2008-02-02,1.8
2008-02-03,1.77
2008-02-04,1.72
2008-02-05,1.68
2008-02-06,1.65
2008-02-07,1.65
2008-02-08,1.66
2008-02-09,1.66
2008-02-10,1.64
2008-02-11,1.62
2008-02-12,1.61
2008-02-13,1.58
2008-02-14,1.5
2008-02-15,1.45
2008-02-16,1.4
2008-02-17,1.4
2008-02-18,1.38
2008-02-19,1.38
2008-02-20,1.36
2008-02-21,1.34
2008-02-22,1.32
2008-02-23,1.34
2008-02-24,1.37
2008-02-25,1.4
2008-02-26,1.36
2008-02-27,1.3
2008-02-28,1.24
2008-03-01,1.18
2008-03-02,1.16
2008-03-03,1.13
2008-03-04,1.12
2008-03-05,1.1
2008-03-06,1.1
2008-03-07,1.1
2008-03-08,1.02
2008-03-09,1.0
2008-03-10,1.0
2008-03-11,0.98
2008-03-12,0.98
2008-03-13,1.0
2008-03-14,1.02
2008-03-15,1.03
2008-03-16,1.03
2008-03-17,1.04
2008-03-18,1.02
2008-03-19,0.98
2008-03-20,0.98
2008-03-21,0.97
2008-03-22,0.94
2008-03-23,0.92
2008-03-24,0.97
2008-03-25,0.98
2008-03-26,1.05
2008-03-27,1.1
2008-03-28,1.16
2008-03-29,1.14
2008-03-30,1.12
2008-03-31,0.54
2008-04-01,0.55
2008-04-02,0.6
2008-04-03,0.72
2008-04-04,0.78
2008-04-05,0.73
2008-04-06,0.68
2008-04-07,0.7
2008-04-08,0.82
2008-04-09,0.96
2008-04-10,1.04
2008-04-11,1.12
2008-04-12,1.13
2008-04-13,1.16
2008-04-14,1.24
2008-04-15,1.38
2008-04-16,1.56
2008-04-17,1.63
2008-04-18,1.63
2008-04-19,1.54
2008-04-20,1.42
2008-04-21,1.28
2008-04-22,1.1
2008-04-23,0.96
2008-04-24,0.88
2008-04-25,0.83
2008-04-26,0.92
2008-04-27,0.8
2008-04-28,0.85
2008-04-29,1.0
2008-04-30,1.13
2008-05-01,1.23
2008-05-02,1.17
2008-05-03,1.06
2008-05-04,0.98
2008-05-05,0.96
2008-05-06,0.94
2008-05-07,1.0
2008-05-08,1.16
2008-05-09,1.32
2008-05-10,1.35
2008-05-11,1.38
2008-05-12,1.32
2008-05-13,1.26
2008-05-14,1.14
2008-05-15,1.12
2008-05-16,1.16
2008-05-17,1.3
2008-05-18,1.37
2008-05-19,1.54
2008-05-20,1.58
2008-05-21,1.78
2008-05-22,2.0
2008-05-23,2.88
2008-05-24,3.02
2008-05-25,2.95
2008-05-26,2.86
2008-05-27,2.6
2008-05-28,2.3
2008-05-29,2.06
2008-05-30,1.85
2008-05-31,2.13
2008-06-01,1.97
2008-06-02,2.24
2008-06-03,2.48
2008-06-04,2.44
2008-06-05,2.36
2008-06-06,2.36
2008-06-07,2.64
2008-06-08,3.2
2008-06-09,3.7
2008-06-10,3.78
2008-06-11,3.72
