figure_id,panel,series,item,source_path,source_sha256,row_filter,field,transformation,source_value_unrounded,derived_value_unrounded,displayed_value,evidence_class,notes
fig1_frozen_workflow,workflow,lineage,E0_to_E1,reproducibility/frozen_e0_e5/manifests/e1_strategy_manifest.json,112dc7b71489536413ce3bdc0bda67ce1305692c9150a950e07b1606af211823,JSON phase=E1,e0_manifest_sha256,compare recorded predecessor hash with SHA-256 of available E0 manifest,52c401be51ee095268fe63d31b878ac1ff44c59771c94ce23ab5f1dde3b0482e,expected=52c401be51ee095268fe63d31b878ac1ff44c59771c94ce23ab5f1dde3b0482e;available=99eec91850433e15d66b769caca36862a12dacfed05a38031d137a96fe8f4835,historical E0 hash linkage unresolved,frozen provenance limitation,Rendered as dashed warning link; the chain is not labelled fully verified.
fig1_frozen_workflow,workflow,lineage,E1_to_E2,reproducibility/frozen_e0_e5/manifests/e2_architecture_manifest.json,d89e2a48e882b54373b67c2dafa2dc51e5c4dc613d513c4f62c24910df3d91c1,JSON phase=E2,e1_manifest_sha256,compare with SHA-256 of E1 manifest,112dc7b71489536413ce3bdc0bda67ce1305692c9150a950e07b1606af211823,True,verified,frozen provenance metadata,
fig1_frozen_workflow,workflow,lineage,E2_to_E3,reproducibility/frozen_e0_e5/manifests/e3_lookback_manifest.json,5bb9b8c742445861d297f55509699a486975a21bc8e0b37730eee5b49180881b,JSON phase=E3,e2_manifest_sha256,compare with SHA-256 of E2 manifest,d89e2a48e882b54373b67c2dafa2dc51e5c4dc613d513c4f62c24910df3d91c1,True,verified,frozen provenance metadata,
fig1_frozen_workflow,workflow,lineage,E3_to_E4,reproducibility/frozen_e0_e5/manifests/e4_stations_manifest.json,805a608622caacce6106c1d2b4f789fae29a23310cb815c2a26c36cc81826237,JSON phase=E4,e3_manifest_sha256,compare with SHA-256 of E3 manifest,5bb9b8c742445861d297f55509699a486975a21bc8e0b37730eee5b49180881b,True,verified,frozen provenance metadata,
fig1_frozen_workflow,workflow,lineage,E4_to_E5,reproducibility/frozen_e0_e5/manifests/e5_final_manifest.json,8446d791fdfccebdfcf0c7efd4e66a2a9c976b62f52adb8a58d6eeb803c7e1f4,JSON phase=E5,e4_manifest_sha256,compare with SHA-256 of E4 manifest,805a608622caacce6106c1d2b4f789fae29a23310cb815c2a26c36cc81826237,True,verified,frozen provenance metadata,
fig1_frozen_workflow,workflow,phase,E0,reproducibility/frozen_e0_e5/manifests/e0_data_manifest.json,99eec91850433e15d66b769caca36862a12dacfed05a38031d137a96fe8f4835,JSON phase=E0,status;policies.interpolate_before_split;policies.scaler_fit_scope,none; conceptual workflow label,"{""interpolate_before_split"":false,""scaler_fit_scope"":""train_only"",""status"":""PASS""}","{""interpolate_before_split"":false,""scaler_fit_scope"":""train_only"",""status"":""PASS""}",Data integrity | leakage-aware | gate,frozen protocol/evaluation metadata,
fig1_frozen_workflow,workflow,phase,E1,reproducibility/frozen_e0_e5/manifests/e1_strategy_manifest.json,112dc7b71489536413ce3bdc0bda67ce1305692c9150a950e07b1606af211823,JSON phase=E1,selected_strategy,none; conceptual workflow label,"{""selected_strategy"":""lstm_mimo""}","{""selected_strategy"":""lstm_mimo""}",Strategy | MIMO | retained,frozen protocol/evaluation metadata,
fig1_frozen_workflow,workflow,phase,E2,reproducibility/frozen_e0_e5/manifests/e2_architecture_manifest.json,d89e2a48e882b54373b67c2dafa2dc51e5c4dc613d513c4f62c24910df3d91c1,JSON phase=E2,selected_architecture;status;architecture_tuning_trials_completed,none; conceptual workflow label,"{""architecture_tuning_trials_completed"":0,""selected_architecture"":""lstm"",""status"":""COMPLETE_WITH_PROTOCOL_DEVIATION""}","{""architecture_tuning_trials_completed"":0,""selected_architecture"":""lstm"",""status"":""COMPLETE_WITH_PROTOCOL_DEVIATION""}",Architecture | LSTM selected | protocol deviation,frozen protocol/evaluation metadata,
fig1_frozen_workflow,workflow,phase,E3,reproducibility/frozen_e0_e5/manifests/e3_lookback_manifest.json,5bb9b8c742445861d297f55509699a486975a21bc8e0b37730eee5b49180881b,JSON phase=E3,selected_lookback_days,none; conceptual workflow label,"{""selected_lookback_days"":7}","{""selected_lookback_days"":7}",Look-back | 7 days | (one-SE),frozen protocol/evaluation metadata,
fig1_frozen_workflow,workflow,phase,E4,reproducibility/frozen_e0_e5/manifests/e4_stations_manifest.json,805a608622caacce6106c1d2b4f789fae29a23310cb815c2a26c36cc81826237,JSON phase=E4,evaluation_partition;development_seed,none; conceptual workflow label,"{""development_seed"":42,""evaluation_partition"":""validation_only""}","{""development_seed"":42,""evaluation_partition"":""validation_only""}",Station | ablation | validation-only,frozen protocol/evaluation metadata,
