analysis,station,horizon_days,reference_set,comparison_set,MAE_improvement_m
incremental_addition,VIE,1,S0,S1,-0.03082814626613775
incremental_addition,VIE,3,S0,S1,-0.02307420703690949
incremental_addition,VIE,5,S0,S1,-0.013910456084683442
incremental_addition,VIE,7,S0,S1,-0.018893023146104193
incremental_addition,VIE,14,S0,S1,0.005480892033387308
incremental_addition,CKH,1,S1,S2,0.07252754310093157
incremental_addition,CKH,3,S1,S2,0.10066435798220918
incremental_addition,CKH,5,S1,S2,0.06330284236669853
incremental_addition,CKH,7,S1,S2,0.057700005683673616
incremental_addition,CKH,14,S1,S2,0.029301742522438556
incremental_addition,LUA,1,S2,S3,-0.10480862032165633
incremental_addition,LUA,3,S2,S3,0.023841866927025945
incremental_addition,LUA,5,S2,S3,0.04266034568155025
incremental_addition,LUA,7,S2,S3,0.032098928229557955
incremental_addition,LUA,14,S2,S3,0.022130261339666002
incremental_addition,CSA,1,S3,S4,-0.08238832091288267
incremental_addition,CSA,3,S3,S4,-0.05000173720134621
incremental_addition,CSA,5,S3,S4,0.06506796624288869
incremental_addition,CSA,7,S3,S4,0.08175252987933734
incremental_addition,CSA,14,S3,S4,0.011336706226928284
leave_one_out,CSA,1,S4,S4-CSA,-0.08238832091288267
leave_one_out,CSA,3,S4,S4-CSA,-0.05000173720134621
leave_one_out,CSA,5,S4,S4-CSA,0.06506796624288869
leave_one_out,CSA,7,S4,S4-CSA,0.08175252987933734
leave_one_out,CSA,14,S4,S4-CSA,0.011336706226928284
leave_one_out,LUA,1,S4,S4-LUA,-0.034127400660512064
leave_one_out,LUA,3,S4,S4-LUA,0.0004118458670991365
leave_one_out,LUA,5,S4,S4-LUA,0.003826320619505885
leave_one_out,LUA,7,S4,S4-LUA,0.014845775803002614
leave_one_out,LUA,14,S4,S4-LUA,0.05351806050927188
leave_one_out,CKH,1,S4,S4-CKH,-0.03851235756268484
leave_one_out,CKH,3,S4,S4-CKH,-0.009971301026436785
leave_one_out,CKH,5,S4,S4-CKH,0.006614784554615005
leave_one_out,CKH,7,S4,S4-CKH,0.013812168191546959
leave_one_out,CKH,14,S4,S4-CKH,0.005695341326821257
leave_one_out,VIE,1,S4,S4-VIE,-0.054330256378495256
leave_one_out,VIE,3,S4,S4-VIE,-0.03610385022441659
leave_one_out,VIE,5,S4,S4-VIE,-0.020149616123752934
leave_one_out,VIE,7,S4,S4-VIE,-0.005995116299319925
leave_one_out,VIE,14,S4,S4-VIE,-0.009548207548387033
