model,station_set,horizon_days,MAE_m
lstm,S0,1,0.17738962768040653
lstm,S0,3,0.40082381499823616
lstm,S0,5,0.5709481929092589
lstm,S0,7,0.6885407119889203
lstm,S0,14,0.9490845111626427
lstm,S4,1,0.3916608537596034
lstm,S4,3,0.4475847838387031
lstm,S4,5,0.5292321162303202
lstm,S4,7,0.6356860728522946
lstm,S4,14,0.923183250182815
persistence,S0,1,0.16636380737990902
persistence,S0,3,0.4206512935343444
persistence,S0,5,0.5892908139741473
persistence,S0,7,0.7066104966915702
persistence,S0,14,0.9717755353306201
persistence,S4,1,0.16636380737990902
persistence,S4,3,0.4206512935343444
persistence,S4,5,0.5892908139741473
persistence,S4,7,0.7066104966915702
persistence,S4,14,0.9717755353306201
ridge,S0,1,0.1651087762399881
ridge,S0,3,0.4120866855518672
ridge,S0,5,0.5807365975393142
ridge,S0,7,0.6973649927382246
ridge,S0,14,0.9668027102191097
ridge,S4,1,0.15546392824898062
ridge,S4,3,0.3771092758729037
ridge,S4,5,0.5129428516355907
ridge,S4,7,0.6191410475687656
ridge,S4,14,0.904698895349839
