fold,station_set,seed,model,horizon_days,threshold_name,threshold_m,hits,misses,false_alarms,POD_recall,FAR,CSI,F1,event_count,mean_peak_magnitude_error_m,mean_absolute_peak_timing_error_days,evidence_class
A,S0,42,lstm,1,official_alarm,11.4,11,8,0,0.5789473684210527,0.0,0.5789473684210527,0.7333333333333333,3,-0.5061901791890483,1.0,exploratory
A,S0,42,lstm,1,train_q90,8.84,51,4,0,0.9272727272727272,0.0,0.9272727272727272,0.9622641509433962,1,-0.5279063892364526,1.0,exploratory
A,S0,42,lstm,1,train_q95,10.08,34,5,2,0.8717948717948718,0.05555555555555555,0.8292682926829268,0.9066666666666666,3,-0.06174673398336002,1.0,exploratory
A,S0,42,lstm,2,official_alarm,11.4,10,8,0,0.5555555555555556,0.0,0.5555555555555556,0.7142857142857143,3,-0.5226054509480816,1.3333333333333333,exploratory
A,S0,42,lstm,2,train_q90,8.84,51,4,0,0.9272727272727272,0.0,0.9272727272727272,0.9622641509433962,1,-0.5861185359954835,2.0,exploratory
A,S0,42,lstm,2,train_q95,10.08,30,8,5,0.7894736842105263,0.14285714285714285,0.6976744186046512,0.821917808219178,3,-0.07231919924418288,2.0,exploratory
A,S0,42,lstm,3,official_alarm,11.4,8,9,1,0.47058823529411764,0.1111111111111111,0.4444444444444444,0.6153846153846154,3,-0.5387598482767751,1.3333333333333333,exploratory
A,S0,42,lstm,3,train_q90,8.84,50,5,1,0.9090909090909091,0.0196078431372549,0.8928571428571429,0.9433962264150944,1,-0.7219635009765639,3.0,exploratory
A,S0,42,lstm,3,train_q95,10.08,29,8,4,0.7837837837837838,0.12121212121212122,0.7073170731707317,0.8285714285714286,4,-0.1838177967071548,3.0,exploratory
A,S0,42,lstm,4,official_alarm,11.4,4,12,1,0.25,0.2,0.23529411764705882,0.38095238095238093,3,-0.5056167093912786,2.0,exploratory
A,S0,42,lstm,4,train_q90,8.84,49,6,2,0.8909090909090909,0.0392156862745098,0.8596491228070176,0.9245283018867925,1,-0.8451674175262465,4.0,exploratory
A,S0,42,lstm,4,train_q95,10.08,28,8,4,0.7777777777777778,0.125,0.7,0.8235294117647058,4,-0.7596925520896929,3.5,exploratory
A,S0,42,lstm,5,official_alarm,11.4,2,13,3,0.13333333333333333,0.6,0.1111111111111111,0.2,2,-1.0634748268127465,3.5,exploratory
A,S0,42,lstm,5,train_q90,8.84,48,7,3,0.8727272727272727,0.058823529411764705,0.8275862068965517,0.9056603773584906,1,-0.9867534923553478,5.0,exploratory
A,S0,42,lstm,5,train_q95,10.08,26,9,5,0.7428571428571429,0.16129032258064516,0.65,0.7878787878787878,4,-1.3775036096572904,3.25,exploratory
A,S0,42,lstm,6,official_alarm,11.4,2,13,2,0.13333333333333333,0.5,0.11764705882352941,0.21052631578947367,2,-1.715380105972292,4.0,exploratory
A,S0,42,lstm,6,train_q90,8.84,47,8,3,0.8545454545454545,0.06,0.8103448275862069,0.8952380952380953,1,-1.0873254203796403,6.0,exploratory
