phase,fold,partition,model,architecture,lookback_days,station_set,seed,horizon_days,n,MAE_m,RMSE_m,bias_m,NSE,KGE,MAE_skill_vs_persistence
E4,A,validation,persistence,tcn_gru,60,S0,42,1,286,0.2124825174825175,0.2896688487877872,-0.0056993006993007,0.984638332245271,0.9919254811489544,0.0
E4,A,validation,persistence,tcn_gru,60,S0,42,3,286,0.5437062937062938,0.7305955995418602,-0.0162937062937062,0.9013620988069022,0.9504747375016004,0.0
E4,A,validation,persistence,tcn_gru,60,S0,42,5,286,0.7651048951048952,1.009260616989979,-0.027062937062937,0.8097953313113505,0.905250930028134,0.0
E4,A,validation,persistence,tcn_gru,60,S0,42,7,286,0.9112237762237764,1.1668409626713625,-0.0383566433566433,0.7427657800511018,0.87246174168187,0.0
E4,A,validation,persistence,tcn_gru,60,S0,42,14,286,1.041258741258741,1.407014892988311,-0.0859440559440559,0.6044994670145496,0.8063844268516253,0.0
E4,A,validation,tcn_gru,tcn_gru,60,S0,42,1,286,0.22894358801675,0.2911100044227028,0.0188032279814869,0.984485097778934,0.989805137763787,-0.0774702348657314
E4,A,validation,tcn_gru,tcn_gru,60,S0,42,3,286,0.5457031303769225,0.7147427911795071,-0.0060256238583922,0.9055962412743842,0.949206335916154,-0.0036726385067513
E4,A,validation,tcn_gru,tcn_gru,60,S0,42,5,286,0.7322041893088733,0.9540466205026314,-0.0261635626362758,0.8300372637136005,0.9037570385729294,0.0430015622779557
E4,A,validation,tcn_gru,tcn_gru,60,S0,42,7,286,0.8544516496933424,1.0890484347646634,-0.041814468669725,0.7759217010418701,0.8729971813283266,0.0623031663700704
E4,A,validation,tcn_gru,tcn_gru,60,S0,42,14,286,0.9151675947187664,1.234671079910821,-0.0492311680025157,0.6954544656903836,0.821615256019296,0.1210949224661946
E4,B,validation,persistence,tcn_gru,60,S0,42,1,62,0.2145161290322579,0.3655530498546886,-0.032258064516129,0.9309945027872958,0.9566694431455778,0.0
E4,B,validation,persistence,tcn_gru,60,S0,42,3,62,0.5146774193548387,0.7111655585114504,-0.1204838709677419,0.7705239603978722,0.8478328815108065,0.0
E4,B,validation,persistence,tcn_gru,60,S0,42,5,62,0.6679032258064516,0.8785554492571057,-0.2137096774193548,0.6906662769398197,0.774411348917677,0.0
E4,B,validation,persistence,tcn_gru,60,S0,42,7,62,0.8017741935483871,1.052313120333395,-0.2701612903225806,0.5985952285682989,0.7055399863549991,0.0
E4,B,validation,persistence,tcn_gru,60,S0,42,14,62,1.214516129032258,1.5788021183898435,-0.626774193548387,0.3269259768834424,0.5049468732195747,0.0
E4,B,validation,tcn_gru,tcn_gru,60,S0,42,1,62,0.3059258124136155,0.4669387375373546,0.0533796797260159,0.8874092594165005,0.9322888720271076,-0.4261203285446746
E4,B,validation,tcn_gru,tcn_gru,60,S0,42,3,62,0.5754946384699113,0.7882448710911568,0.071732397867787,0.7180849756680476,0.8053292470034931,-0.1181657030753526
E4,B,validation,tcn_gru,tcn_gru,60,S0,42,5,62,0.6978610899371486,0.9151166680500056,0.0048486387345096,0.6643846263629238,0.7731514715388987,-0.0448536000024926
E4,B,validation,tcn_gru,tcn_gru,60,S0,42,7,62,0.7775592184451317,1.0691156997895233,-0.022087743013136,0.5856742031037795,0.6901923834864231,0.0302017392154865
