analysis,station,horizon_days,reference_set,comparison_set,MAE_improvement_m
incremental_addition,VIE,1,S0,S1,-0.0017455572346505022
incremental_addition,VIE,3,S0,S1,0.01913077057689927
incremental_addition,VIE,5,S0,S1,0.0005477240170549402
incremental_addition,VIE,7,S0,S1,-0.00888357980988419
incremental_addition,VIE,14,S0,S1,0.0061490196856224255
incremental_addition,CKH,1,S1,S2,0.08475408927544392
incremental_addition,CKH,3,S1,S2,0.08936296630483875
incremental_addition,CKH,5,S1,S2,0.06655780168599157
incremental_addition,CKH,7,S1,S2,0.04596061202612334
incremental_addition,CKH,14,S1,S2,-0.012027140887999055
incremental_addition,LUA,1,S2,S3,-0.08915354664152711
incremental_addition,LUA,3,S2,S3,0.05566665063401188
incremental_addition,LUA,5,S2,S3,0.06709543609148916
incremental_addition,LUA,7,S2,S3,0.06322011399624872
incremental_addition,LUA,14,S2,S3,0.11279787701247568
incremental_addition,CSA,1,S3,S4,0.010430964911127771
incremental_addition,CSA,3,S3,S4,0.03760393306339299
incremental_addition,CSA,5,S3,S4,0.08927483279445592
incremental_addition,CSA,7,S3,S4,0.13487901329842134
incremental_addition,CSA,14,S3,S4,0.062478618006851616
leave_one_out,CSA,1,S4,S4-CSA,0.010430964911127771
leave_one_out,CSA,3,S4,S4-CSA,0.03760393306339299
leave_one_out,CSA,5,S4,S4-CSA,0.08927483279445592
leave_one_out,CSA,7,S4,S4-CSA,0.13487901329842134
leave_one_out,CSA,14,S4,S4-CSA,0.062478618006851616
leave_one_out,LUA,1,S4,S4-LUA,0.03123000116446134
leave_one_out,LUA,3,S4,S4-LUA,0.044035881546510725
leave_one_out,LUA,5,S4,S4-LUA,-0.005009586921553455
leave_one_out,LUA,7,S4,S4-LUA,0.014561547369357553
leave_one_out,LUA,14,S4,S4-LUA,0.055728122602426766
leave_one_out,CKH,1,S4,S4-CKH,0.0950983158267702
leave_one_out,CKH,3,S4,S4-CKH,0.0710172932061654
leave_one_out,CKH,5,S4,S4-CKH,-0.013618480227553853
leave_one_out,CKH,7,S4,S4-CKH,0.02657153225904174
leave_one_out,CKH,14,S4,S4-CKH,0.03569617190029972
leave_one_out,VIE,1,S4,S4-VIE,0.06662209990860674
leave_one_out,VIE,3,S4,S4-VIE,0.0364033114474796
leave_one_out,VIE,5,S4,S4-VIE,-0.04540172396633618
leave_one_out,VIE,7,S4,S4-VIE,0.0168867923904521
leave_one_out,VIE,14,S4,S4-VIE,0.0375507260923017
