fold,station_set,seed,model,horizon_days,threshold_name,threshold_m,hits,misses,false_alarms,POD_recall,FAR,CSI,F1,event_count,mean_peak_magnitude_error_m,mean_absolute_peak_timing_error_days,evidence_class
A,S0,42,tcn_gru,1,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,1,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,1,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,2,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,2,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,2,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,3,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,3,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,3,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,4,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,4,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,4,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,5,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,5,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,5,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,6,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,6,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,6,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,7,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,7,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,7,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,8,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,8,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,8,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,9,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,9,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,9,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,10,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,10,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,10,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,11,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,11,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,11,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,12,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,12,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,12,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,13,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,13,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,13,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,14,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,14,train_q90,8.84,0,0,0,,,,,0,,,exploratory
A,S0,42,tcn_gru,14,train_q95,10.08,0,0,0,,,,,0,,,exploratory
A,S0,52,tcn_gru,1,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
A,S0,52,tcn_gru,1,train_q90,8.84,0,0,0,,,,,0,,,exploratory
