date,actual,predicted,error,error_percent
2025-01-01,2.45,2.5925798,-0.1425798,-5.8195834
2025-01-02,2.48,1.9294434,0.55055666,22.199865
2025-01-03,2.44,1.7527941,0.6872059,28.164175
2025-01-04,2.38,1.9546486,0.4253515,17.87191
2025-01-05,2.65,2.1154563,0.53454375,20.171461
2025-01-06,2.71,2.2237685,0.48623157,17.942125
2025-01-07,2.56,2.191921,0.36807895,14.378084
2025-01-08,2.39,2.1120796,0.27792048,11.628471
2025-01-09,2.23,2.0081944,0.22180557,9.946438
2025-01-10,2.44,2.0308344,0.40916562,16.769083
2025-01-11,2.7,2.2408636,0.4591365,17.005054
2025-01-12,2.91,2.469951,0.44004917,15.1219635
2025-01-13,3.13,2.6909668,0.43903327,14.026621
2025-01-14,3.2700002,2.8408525,0.42914772,13.123782
2025-01-15,3.25,2.892142,0.35785794,11.011013
2025-01-16,3.0200002,2.8190048,0.20099545,6.6554775
2025-01-17,2.72,2.5213733,0.19862676,7.302454
2025-01-18,2.51,2.273637,0.23636293,9.41685
2025-01-19,2.29,2.1034415,0.18655849,8.146659
2025-01-20,2.14,1.9506267,0.18937337,8.849223
2025-01-21,2.0100002,1.8545781,0.15542209,7.7324414
2025-01-22,1.9800001,1.8029854,0.17701471,8.940136
2025-01-23,1.99,1.7858638,0.20413625,10.258103
2025-01-24,1.9800001,1.7609005,0.21909964,11.065638
2025-01-25,2.03,1.7398405,0.29015946,14.29357
2025-01-26,2.0100002,1.7566895,0.25331068,12.60252
2025-01-27,1.9800001,1.7434077,0.23659241,11.949111
2025-01-28,1.97,1.7283739,0.24162614,12.265286
2025-01-29,1.97,1.6537933,0.3162067,16.051102
2025-01-30,1.97,1.5574067,0.41259336,20.943825
2025-01-31,2.0500002,1.599272,0.45072818,21.986738
2025-02-01,2.25,1.7874669,0.46253312,20.557028
2025-02-02,2.38,1.9335134,0.4464867,18.759945
2025-02-03,2.26,1.8932742,0.3667258,16.226807
2025-02-04,1.9399999,1.6417485,0.2982514,15.373783
2025-02-05,1.73,1.5039569,0.2260431,13.066075
2025-02-06,1.71,1.4791551,0.23084497,13.499705
2025-02-07,1.8100001,1.5188919,0.29110813,16.08332
2025-02-08,1.79,1.5229133,0.26708663,14.921041
2025-02-09,1.68,1.4316703,0.24832964,14.7815275
2025-02-10,1.66,1.3771187,0.28288126,17.041039
2025-02-11,1.62,1.3833185,0.23668146,14.609967
2025-02-12,1.5699999,1.3538384,0.21616149,13.768249
2025-02-13,1.5899999,1.3183595,0.27164042,17.084303
2025-02-14,1.69,1.3224982,0.36750185,21.745672
2025-02-15,1.7700001,1.3782755,0.3917246,22.13133
2025-02-16,1.8000001,1.3888532,0.41114688,22.841492
2025-02-17,1.74,1.3579537,0.38204634,21.956686
2025-02-18,1.65,1.3803583,0.26964164,16.341917
2025-02-19,1.64,1.4007726,0.23922741,14.587037
2025-02-20,1.7,1.3984739,0.3015262,17.736834
2025-02-21,1.68,1.487243,0.19275689,11.473625
2025-02-22,1.9200001,1.6001765,0.31982362,16.657478
2025-02-23,2.0200002,1.6994233,0.3205769,15.870142
2025-02-24,2.0100002,1.694253,0.31574726,15.7088175
2025-02-25,1.9800001,1.6851426,0.2948575,14.891791
2025-02-26,1.96,1.7022321,0.25776792,13.151423
2025-02-27,1.9399999,1.6907912,0.24920869,12.84581
2025-02-28,1.9399999,1.6697277,0.27027225,13.9315605
2025-03-01,1.89,1.6394424,0.25055754,13.257013
2025-03-02,1.85,1.6233425,0.22665751,12.251757
2025-03-03,1.89,1.6385629,0.25143707,13.303548
2025-03-04,1.89,1.6490344,0.2409656,12.749503
2025-03-05,1.89,1.6208986,0.26910138,14.238169
2025-03-06,1.93,1.628404,0.30159593,15.626733
2025-03-07,1.9399999,1.6440976,0.29590237,15.252701
2025-03-08,1.9399999,1.6579293,0.28207064,14.539724
2025-03-09,1.95,1.6618773,0.28812277,14.775526
2025-03-10,1.93,1.6290065,0.30099344,15.595515
2025-03-11,1.86,1.6070251,0.25297487,13.6008
2025-03-12,1.85,1.6548175,0.19518256,10.550408
2025-03-13,1.9399999,1.7320952,0.2079047,10.716737
2025-03-14,1.97,1.807926,0.16207397,8.227105
2025-03-15,1.99,1.812675,0.17732501,8.910804
2025-03-16,1.9800001,1.7683845,0.21161568,10.687659
2025-03-17,2.0100002,1.7836077,0.22639251,11.263308
2025-03-18,1.99,1.8223263,0.1676737,8.425815
