date,actual,predicted,error,error_percent
2025-01-01,2.45,2.6018379,-0.15183783,-6.197462
2025-01-02,2.48,1.9955246,0.48447537,19.535297
2025-01-03,2.44,1.6759809,0.76401913,31.31226
2025-01-04,2.38,1.7532287,0.62677145,26.334932
2025-01-05,2.65,1.955332,0.69466805,26.213888
2025-01-06,2.71,2.1197739,0.5902262,21.779564
2025-01-07,2.56,2.1655877,0.39441228,15.40673
2025-01-08,2.39,2.1494844,0.24051571,10.063418
2025-01-09,2.23,2.1079645,0.1220355,5.472444
2025-01-10,2.44,2.1286316,0.31136847,12.761003
2025-01-11,2.7,2.3178167,0.3821833,14.154938
2025-01-12,2.91,2.582771,0.32722902,11.244984
2025-01-13,3.13,2.828472,0.30152822,9.633489
2025-01-14,3.2700002,2.992306,0.27769423,8.492178
2025-01-15,3.25,3.0191996,0.23080039,7.1015506
2025-01-16,3.0200002,2.8940248,0.12597537,4.1713696
2025-01-17,2.72,2.621961,0.09803891,3.6043718
2025-01-18,2.51,2.357532,0.15246797,6.074421
2025-01-19,2.29,2.1968212,0.09317875,4.068941
2025-01-20,2.14,2.0841289,0.05587125,2.6108057
2025-01-21,2.0100002,1.9970783,0.012921929,0.642882
2025-01-22,1.9800001,1.955407,0.024593115,1.2420764
2025-01-23,1.99,1.945057,0.044942975,2.258441
2025-01-24,1.9800001,1.9254516,0.054548502,2.7549748
2025-01-25,2.03,1.8945459,0.13545406,6.672614
2025-01-26,2.0100002,1.8855128,0.1244874,6.1934023
2025-01-27,1.9800001,1.8776625,0.1023376,5.1685653
2025-01-28,1.97,1.8755965,0.094403505,4.792056
2025-01-29,1.97,1.8360513,0.13394868,6.799425
2025-01-30,1.97,1.7612644,0.20873559,10.595715
2025-01-31,2.0500002,1.7519376,0.29806256,14.539635
2025-02-01,2.25,1.8791584,0.37084162,16.48185
2025-02-02,2.38,2.0326529,0.34734726,14.594422
2025-02-03,2.26,2.0434573,0.21654272,9.581536
2025-02-04,1.9399999,1.8565252,0.083474755,4.3028226
2025-02-05,1.73,1.6866133,0.043386698,2.5079017
2025-02-06,1.71,1.63063,0.07937002,4.641522
2025-02-07,1.8100001,1.643469,0.16653109,9.200612
2025-02-08,1.79,1.6387025,0.15129745,8.452372
2025-02-09,1.68,1.5589273,0.12107265,7.206705
2025-02-10,1.66,1.4826576,0.17734241,10.683278
2025-02-11,1.62,1.4689114,0.1510886,9.326456
2025-02-12,1.5699999,1.4606339,0.10936606,6.965991
2025-02-13,1.5899999,1.4359576,0.15404236,9.688199
2025-02-14,1.69,1.4092238,0.28077626,16.61398
2025-02-15,1.7700001,1.4313248,0.33867526,19.134195
2025-02-16,1.8000001,1.467719,0.3322811,18.46006
2025-02-17,1.74,1.4674237,0.27257633,15.665306
2025-02-18,1.65,1.4905424,0.15945756,9.664095
2025-02-19,1.64,1.532371,0.10762894,6.5627403
2025-02-20,1.7,1.5587714,0.14122868,8.307569
2025-02-21,1.68,1.6251154,0.054884553,3.2669377
2025-02-22,1.9200001,1.7243127,0.19568741,10.192052
2025-02-23,2.0200002,1.8118411,0.20815909,10.304904
2025-02-24,2.0100002,1.8236805,0.18631971,9.269636
2025-02-25,1.9800001,1.7979993,0.18200088,9.191963
2025-02-26,1.96,1.7918007,0.1681993,8.581596
2025-02-27,1.9399999,1.786933,0.153067,7.890052
2025-02-28,1.9399999,1.7781535,0.1618464,8.342598
2025-03-01,1.89,1.7521051,0.13789487,7.296025
2025-03-02,1.85,1.7343589,0.11564112,6.250871
2025-03-03,1.89,1.7452114,0.14478862,7.6607733
2025-03-04,1.89,1.7579528,0.13204718,6.9866233
2025-03-05,1.89,1.7424313,0.1475687,7.807868
2025-03-06,1.93,1.7297565,0.20024347,10.37531
2025-03-07,1.9399999,1.7337369,0.20626307,10.632117
2025-03-08,1.9399999,1.747927,0.19207299,9.90067
2025-03-09,1.95,1.7594517,0.1905483,9.771708
2025-03-10,1.93,1.7452718,0.18472815,9.571407
