ModelName,SequenceLength,RMSE,MAE,MeanActual,MeanPredicted,RMSE%,MAE%,TimeSeconds
LSTM,30,0.7234,0.6353,5.546666622161865,5.185844421386719,13.042555809020996,11.454092025756836,18.32
LSTM,60,0.4946,0.3630,5.600217819213867,5.9129228591918945,8.8323392868042,6.482320308685303,21.58
LSTM,90,0.8801,0.7753,5.639523983001709,6.412985801696777,15.605913162231445,13.748455047607422,21.00
LSTM,120,0.5134,0.4034,5.538649082183838,5.939792156219482,9.270195960998535,7.283400058746338,19.62
LSTM,180,0.5204,0.3886,5.327500343322754,5.680690765380859,9.76768970489502,7.294022083282471,54.06
LSTM,360,0.9848,0.9848,6.139999866485596,5.155205726623535,16.03899383544922,16.03899383544922,8.27
RandomForest,30,0.2862,0.1971,5.546666666666665,5.726913725490196,5.159289262650557,3.552672511312226,0.46
RandomForest,60,0.2184,0.1737,5.600217391304348,5.6615021739130444,3.8990191418834046,3.1020146733434495,0.72
RandomForest,90,0.2460,0.1819,5.639523809523809,5.792947619047619,4.3629503248291766,3.225787384953141,0.93
RandomForest,120,0.2635,0.2055,5.538648648648648,5.733332432432433,4.757232800802509,3.710291318986969,1.01
RandomForest,180,0.2491,0.1906,5.327500000000001,5.5125071428571415,4.67544775895248,3.5786015954950554,1.06
RandomForest,360,0.7588,0.7588,6.14,5.3812,12.35830618892508,12.35830618892508,0.20
